id,x,y
23165,6.116960,-9.999498
11782,-4.369956,-9.999261
12725,-5.750497,-9.998860
71130,-7.576839,-9.998044
46823,-8.800559,-9.996985
89646,-9.756876,-9.993958
5347,-9.933478,-9.960150
79334,-9.999646,-9.787516
104720,-9.999816,3.241767
126914,-9.997918,7.794209
36775,-9.997034,9.407558
85652,-9.992693,9.625599
68968,-9.981819,9.997852
120864,-3.422073,9.999240
23353,1.944958,9.999089
6310,6.912867,9.998746
4863,8.689329,9.998524
55081,9.365151,9.994171
116809,9.777265,9.984843
121712,9.910433,9.974703
104987,9.948907,9.965209
88531,9.983703,9.809632
99630,9.997244,8.666208
71221,9.999141,7.934462
85596,9.999969,6.382458
14570,9.999568,-3.964753
15056,9.999207,-7.403057
116603,9.998641,-9.172667
62144,9.988680,-9.896648
49060,9.968637,-9.974167
73852,9.855308,-9.989697
112750,7.707025,-9.997941
