num_pontos,pontos_fecho,tempo_execucao
4,3,0.000017
4,4,0.000023
4,4,0.000013
4,4,0.000010
4,4,0.000013
4,4,0.000011
4,3,0.000010
4,4,0.000012
4,4,0.000019
4,4,0.000012
4,3,0.000013
4,4,0.000014
4,4,0.000012
4,4,0.000008
4,4,0.000008
4,4,0.000006
4,4,0.000006
4,4,0.000006
4,4,0.000009
4,4,0.000006
4,3,0.000006
4,4,0.000007
4,4,0.000007
4,4,0.000007
4,3,0.000006
4,4,0.000229
4,3,0.000014
4,4,0.000015
4,4,0.000017
4,3,0.000012
4,4,0.000011
4,4,0.000011
4,4,0.000010
4,4,0.000010
4,3,0.000014
4,4,0.000020
4,4,0.000067
4,4,0.000017
4,4,0.000016
4,4,0.000016
4,3,0.000048
4,3,0.000037
4,4,0.000018
4,4,0.000018
4,4,0.000020
4,4,0.000015
4,4,0.000026
4,3,0.000019
4,4,0.000017
4,3,0.000014
4,4,0.000014
4,3,0.000020
4,4,0.000037
4,4,0.000014
4,4,0.000014
4,3,0.000018
4,3,0.000023
4,3,0.000019
4,4,0.000014
4,4,0.000024
4,3,0.000024
4,4,0.000035
4,3,0.000033
4,4,0.000022
4,4,0.000018
4,4,0.000029
4,4,0.000017
4,4,0.000136
4,4,0.000030
4,4,0.000023
4,3,0.000018
4,4,0.000016
4,3,0.000015
4,4,0.000017
4,4,0.000021
4,3,0.000044
4,3,0.000015
4,4,0.000011
4,3,0.000012
4,4,0.000013
4,4,0.000017
4,3,0.000022
4,3,0.000017
4,4,0.000013
4,4,0.000018
4,4,0.000017
4,4,0.000017
4,4,0.000042
4,4,0.000017
4,4,0.000016
4,3,0.000013
4,4,0.000016
4,4,0.000016
4,4,0.000017
4,3,0.000017
4,4,0.000015
4,4,0.000019
4,4,0.000021
4,4,0.000017
4,4,0.000021
4,4,0.000021
4,3,0.000016
4,3,0.000019
4,4,0.000017
4,3,0.000040
4,4,0.000019
4,4,0.000017
4,4,0.000015
4,3,0.000016
4,4,0.000015
4,4,0.000013
4,4,0.000024
4,4,0.000017
4,4,0.000012
4,4,0.000012
4,4,0.000012
4,4,0.000013
4,4,0.000013
4,4,0.000016
4,3,0.000145
4,4,0.000016
4,3,0.000012
4,3,0.000018
4,4,0.000011
4,4,0.000032
4,3,0.000063
4,3,0.000056
4,3,0.000015
4,4,0.000015
4,3,0.000014
4,3,0.000013
4,3,0.000044
4,4,0.000021
4,4,0.000015
4,3,0.000011
4,3,0.000017
4,4,0.000015
4,4,0.000015
4,4,0.000013
4,4,0.000014
4,4,0.000012
4,4,0.000013
4,4,0.000016
4,3,0.000013
4,4,0.000018
4,4,0.000016
4,4,0.000016
4,4,0.000014
4,4,0.000015
4,4,0.000012
4,4,0.000017
4,4,0.000019
4,3,0.000015
4,4,0.000013
4,3,0.000012
4,4,0.000012
4,4,0.000017
4,4,0.000014
4,4,0.000016
4,3,0.000013
4,4,0.000016
4,4,0.000014
4,3,0.000016
4,4,0.000013
4,4,0.000018
4,4,0.000020
4,4,0.000019
4,3,0.000014
4,4,0.000015
4,4,0.000014
4,3,0.000023
4,4,0.000022
4,4,0.000013
4,3,0.000019
4,3,0.000014
4,3,0.000013
4,4,0.000013
4,4,0.000013
4,4,0.000013
4,3,0.000012
4,3,0.000015
4,3,0.000011
4,3,0.000011
4,4,0.000019
4,4,0.000015
4,3,0.000013
4,3,0.000015
4,3,0.000013
4,4,0.000015
4,4,0.000013
4,4,0.000012
4,4,0.000020
4,4,0.000018
4,4,0.000016
4,3,0.000011
4,4,0.000014
4,3,0.000014
4,4,0.000011
4,4,0.000012
4,4,0.000013
4,4,0.000011
4,4,0.000016
4,4,0.000017
4,4,0.000016
4,4,0.000016
4,4,0.000014
4,3,0.000013
4,4,0.000031
4,4,0.000013
4,4,0.000011
4,3,0.000012
4,4,0.000014
4,4,0.000014
4,3,0.000019
4,3,0.000015
4,4,0.000012
4,4,0.000014
4,3,0.000032
4,4,0.000014
4,4,0.000013
4,3,0.000020
4,4,0.000017
4,4,0.000014
4,4,0.000014
4,3,0.000014
4,4,0.000016
4,3,0.000012
4,4,0.000015
4,4,0.000016
4,4,0.000015
4,4,0.000015
4,4,0.000014
4,3,0.000013
4,4,0.000016
4,4,0.000013
4,4,0.000010
4,4,0.000008
4,4,0.000007
4,3,0.000015
4,4,0.000015
4,4,0.000015
4,4,0.000032
4,4,0.000012
4,4,0.000012
4,3,0.000011
4,3,0.000011
4,3,0.000083
4,4,0.000017
4,4,0.000030
4,4,0.000016
4,4,0.000016
4,4,0.000015
4,4,0.000015
4,4,0.000016
4,4,0.000017
4,4,0.000016
4,3,0.000029
4,4,0.000016
4,4,0.000014
4,3,0.000021
4,3,0.000013
4,4,0.000015
4,3,0.000015
